Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn
No,15,No,No,Fiber optic,No,No,Month-to-month,Yes,91.5,No
No,10,No,No,Fiber optic,Yes,No,Month-to-month,Yes,89.8,Yes
Yes,49,Yes,No,DSL,No,No,Month-to-month,Yes,39.2,No
No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.2,No
Yes,30,Yes,No,DSL,No,No,Month-to-month,Yes,54.45,No
Yes,6,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.45,No
Yes,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,85.6,No
No,2,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,79.85,Yes
No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,84.9,Yes
Yes,23,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,83.8,Yes
No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.55,No
No,60,Yes,No,Fiber optic,No,No,One year,Yes,101.4,No
Yes,63,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No
No,70,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,102.95,Yes
No,57,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,58.75,No
No,46,Yes,No,DSL,No,No,One year,Yes,30.75,No
No,2,No,No,DSL,No,No,Month-to-month,Yes,44.3,No
Yes,1,No,Yes,DSL,No,No,Month-to-month,No,30.2,Yes
Yes,7,Yes,No,DSL,Yes,Yes,Month-to-month,Yes,71.35,No
Yes,71,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,95.15,No
No,5,No,No,Fiber optic,No,Yes,Month-to-month,Yes,96.1,Yes
Yes,35,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.9,No
No,43,No,Yes,Fiber optic,Yes,No,One year,Yes,100.55,No
No,71,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,111.25,No
No,30,No,Yes,DSL,Yes,No,One year,Yes,68.95,No
No,15,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.0,No
No,16,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.6,Yes
No,41,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.4,No
No,14,No,No,Fiber optic,Yes,No,Month-to-month,Yes,80.45,Yes
No,29,No,No,Fiber optic,No,Yes,Month-to-month,Yes,79.3,No
No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.15,No
No,68,No,Yes,DSL,No,Yes,Month-to-month,No,44.95,No
No,71,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,95.5,No
No,25,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,26.8,No
No,13,No,Yes,DSL,No,No,Month-to-month,Yes,59.9,No
Yes,59,No,No,Fiber optic,Yes,No,Two year,Yes,99.5,No
No,2,No,No,Fiber optic,No,No,Month-to-month,No,74.9,Yes
No,64,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.4,No
No,45,Yes,No,DSL,No,Yes,Month-to-month,Yes,70.05,No
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,96.0,Yes
No,47,Yes,No,Fiber optic,No,No,Month-to-month,No,80.35,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,No,70.05,No
Yes,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,No
Yes,66,No,Yes,DSL,Yes,No,Two year,Yes,56.75,No
No,33,No,Yes,Fiber optic,Yes,No,Month-to-month,No,107.55,No
Yes,71,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,105.1,Yes
No,58,Yes,No,DSL,No,Yes,One year,Yes,68.4,No
Yes,7,No,No,DSL,No,No,Month-to-month,No,44.75,No
No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,94.3,Yes
Yes,12,No,No,DSL,No,No,Month-to-month,Yes,56.3,No
Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,No
No,64,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,24.4,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,Yes
No,32,Yes,No,DSL,No,No,One year,No,74.75,No
No,17,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,24.8,No
No,34,No,No,Fiber optic,Yes,No,Month-to-month,Yes,85.2,No
No,25,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,99.5,Yes
No,21,Yes,No,Fiber optic,Yes,No,Month-to-month,No,103.85,No
Yes,21,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
No,21,No,Yes,Fiber optic,Yes,Yes,One year,Yes,104.55,No
No,18,No,No,Fiber optic,No,No,Month-to-month,No,84.3,No
No,51,Yes,No,Fiber optic,Yes,Yes,One year,Yes,111.55,No
Yes,71,Yes,Yes,Fiber optic,No,No,One year,Yes,85.45,No
No,41,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,25.25,No
No,65,No,Yes,Fiber optic,No,No,Month-to-month,Yes,91.85,Yes
No,70,No,Yes,DSL,Yes,Yes,One year,Yes,51.05,No
No,69,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.0,No
Yes,19,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,60.6,No
No,68,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.0,No
No,35,No,No,DSL,Yes,No,Month-to-month,No,49.2,No
No,16,No,Yes,DSL,No,No,Month-to-month,No,55.3,No
No,42,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.3,No
No,12,Yes,No,DSL,Yes,Yes,Two year,No,49.85,No
No,23,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.05,Yes
Yes,69,Yes,No,DSL,Yes,No,Two year,Yes,43.95,No
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,103.95,No
Yes,29,No,No,Fiber optic,No,No,Month-to-month,Yes,70.75,Yes
Yes,3,No,No,Fiber optic,No,No,Month-to-month,Yes,80.3,Yes
Yes,4,No,No,DSL,No,No,Month-to-month,No,44.8,No
No,1,No,No,DSL,No,No,Month-to-month,No,46.0,Yes
Yes,50,Yes,No,DSL,No,Yes,Two year,Yes,70.5,No
No,27,Yes,No,Fiber optic,No,No,Month-to-month,Yes,75.2,Yes
No,3,No,No,Fiber optic,No,No,Month-to-month,No,94.9,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.35,Yes
No,30,Yes,No,Fiber optic,No,Yes,Month-to-month,No,106.4,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,69.6,Yes
Yes,39,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.85,No
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,18.95,No
No,7,No,No,Fiber optic,No,No,Month-to-month,No,75.45,Yes
No,1,No,No,DSL,No,No,Month-to-month,Yes,45.4,No
No,62,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,113.95,No
No,60,Yes,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.95,No
No,59,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,Yes
No,24,No,No,DSL,No,Yes,One year,No,54.6,No
No,55,No,No,DSL,Yes,Yes,Month-to-month,Yes,54.55,Yes
No,32,Yes,No,DSL,No,No,One year,No,30.15,No
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,74.15,No
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,No
No,70,No,Yes,Fiber optic,Yes,No,One year,Yes,95.0,No
No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,94.55,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,85.35,Yes
No,1,No,No,DSL,No,No,Month-to-month,Yes,54.75,Yes
No,22,No,No,Fiber optic,No,No,Month-to-month,Yes,80.0,No
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.75,No
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.85,No
No,6,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,No
Yes,66,No,No,Fiber optic,No,No,One year,Yes,74.25,No
No,26,Yes,Yes,DSL,Yes,Yes,One year,Yes,90.1,No
Yes,62,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.4,No
No,1,No,No,DSL,No,No,Month-to-month,Yes,34.7,Yes
No,60,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.1,No
No,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.05,No
Yes,69,No,Yes,DSL,Yes,Yes,One year,No,59.1,No
No,35,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,96.75,No
No,1,Yes,No,DSL,No,Yes,Month-to-month,Yes,53.95,Yes
No,35,No,No,Fiber optic,No,Yes,Month-to-month,Yes,89.85,No
No,72,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,112.9,No
Yes,41,No,Yes,DSL,No,Yes,One year,Yes,66.5,Yes
No,1,No,Yes,DSL,No,No,Month-to-month,No,50.55,Yes
No,65,Yes,No,Fiber optic,Yes,No,Month-to-month,No,105.25,Yes
Yes,42,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,No
No,66,Yes,Yes,DSL,No,Yes,One year,Yes,63.85,No
No,15,Yes,Yes,DSL,Yes,Yes,Month-to-month,No,84.45,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.15,Yes
No,3,No,Yes,DSL,No,No,Month-to-month,Yes,29.6,Yes
No,36,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,No
No,55,Yes,Yes,DSL,No,Yes,One year,Yes,66.05,No
No,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,88.35,Yes
No,29,No,Yes,DSL,No,No,Month-to-month,Yes,30.6,Yes
No,18,No,No,Fiber optic,No,Yes,Month-to-month,Yes,99.85,Yes
No,15,Yes,No,DSL,No,No,Month-to-month,Yes,64.65,Yes
Yes,31,No,No,DSL,No,No,Month-to-month,No,59.7,No
No,18,No,Yes,Fiber optic,Yes,No,Month-to-month,No,101.3,No
No,23,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.15,Yes
Yes,69,Yes,No,DSL,Yes,Yes,Two year,No,39.1,No
Yes,47,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,113.45,No
Yes,19,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.2,No
No,33,No,No,DSL,No,No,Month-to-month,Yes,44.55,No
No,67,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.5,No
No,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.3,No
No,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.45,No
Yes,68,No,Yes,DSL,Yes,Yes,Two year,No,60.3,No
No,48,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.55,No
No,6,No,No,Fiber optic,Yes,No,Month-to-month,Yes,80.8,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,24.05,Yes
No,32,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,104.9,Yes
No,1,No,No,Fiber optic,No,Yes,Month-to-month,No,74.0,No
Yes,72,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.3,No
No,56,Yes,Yes,DSL,Yes,Yes,Two year,Yes,85.65,No
Yes,5,No,No,Fiber optic,No,No,Month-to-month,No,69.95,No
Yes,70,Yes,Yes,DSL,No,No,Two year,Yes,69.2,No
Yes,13,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.5,No
No,1,No,No,DSL,No,No,Month-to-month,Yes,45.85,Yes
Yes,69,No,No,Fiber optic,No,Yes,Two year,Yes,95.2,No
No,51,No,No,Fiber optic,No,No,Month-to-month,Yes,94.65,Yes
No,13,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.95,No
No,11,No,Yes,Fiber optic,No,No,Month-to-month,Yes,74.55,Yes
Yes,6,No,No,DSL,No,No,Month-to-month,No,54.85,No
Yes,22,No,Yes,DSL,No,No,Month-to-month,No,39.2,No
Yes,23,No,No,Fiber optic,No,No,Month-to-month,Yes,83.75,No
Yes,67,No,Yes,Fiber optic,Yes,No,One year,No,87.4,Yes
Yes,41,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.25,No
No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No
No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,70.2,No
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.3,No
No,41,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.55,No
Yes,2,No,No,Fiber optic,No,No,Month-to-month,No,70.4,Yes
No,36,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.15,Yes
No,10,No,No,Fiber optic,Yes,No,Month-to-month,Yes,98.5,Yes
No,14,No,No,DSL,Yes,Yes,Month-to-month,Yes,55.0,No
No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.7,No
No,4,No,No,Fiber optic,No,No,Month-to-month,No,70.4,Yes
Yes,62,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.1,No
No,60,Yes,Yes,DSL,No,No,One year,Yes,71.75,No
No,8,No,No,Fiber optic,No,Yes,Month-to-month,Yes,100.15,No
Yes,37,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.8,No
Yes,9,No,Yes,DSL,No,No,Month-to-month,Yes,29.95,Yes
No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,86.55,Yes
Yes,45,Yes,Yes,DSL,Yes,Yes,Two year,Yes,84.35,No
Yes,28,No,No,DSL,No,No,Month-to-month,Yes,35.9,No
No,35,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,113.2,No
Yes,5,No,No,DSL,No,No,Month-to-month,No,44.8,No
No,27,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,101.25,Yes
Yes,1,No,Yes,DSL,No,No,Month-to-month,Yes,49.9,No
No,23,Yes,No,Fiber optic,Yes,No,One year,Yes,99.95,No
Yes,26,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.65,No
No,29,No,No,Fiber optic,No,No,Month-to-month,Yes,94.45,Yes
No,24,Yes,No,DSL,No,Yes,Month-to-month,No,56.35,No
No,9,No,Yes,DSL,No,No,Month-to-month,No,50.85,No
Yes,1,No,No,DSL,No,Yes,Month-to-month,Yes,59.55,No
No,51,No,Yes,DSL,No,Yes,One year,Yes,78.65,No
No,2,No,No,DSL,No,No,Month-to-month,Yes,35.1,Yes
Yes,8,No,No,DSL,No,No,Month-to-month,Yes,45.45,No
No,59,Yes,Yes,DSL,Yes,Yes,One year,No,79.85,No
Yes,63,Yes,Yes,DSL,No,Yes,One year,Yes,40.6,No
No,57,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,103.05,No
Yes,53,Yes,Yes,DSL,No,Yes,Two year,Yes,69.7,No
No,4,No,No,Fiber optic,Yes,No,Month-to-month,Yes,94.75,No
No,4,Yes,No,DSL,No,No,Month-to-month,Yes,29.05,No
No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,84.05,No
Yes,17,No,No,Fiber optic,No,No,Month-to-month,Yes,69.0,Yes
No,8,No,No,DSL,No,No,Month-to-month,Yes,66.25,No
No,20,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.7,Yes
No,9,No,Yes,Fiber optic,Yes,No,Month-to-month,No,80.55,No
No,70,Yes,No,DSL,Yes,Yes,Two year,Yes,58.35,No
Yes,7,Yes,Yes,DSL,Yes,No,Month-to-month,No,58.85,No
No,15,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.4,Yes
No,35,No,No,Fiber optic,No,No,Month-to-month,No,70.55,No
Yes,22,Yes,Yes,DSL,Yes,No,Month-to-month,No,61.15,Yes
No,8,No,Yes,DSL,No,No,Month-to-month,Yes,49.55,No
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,113.1,No
Yes,1,No,No,Fiber optic,No,No,Month-to-month,Yes,79.35,Yes
Yes,1,No,No,DSL,No,No,Month-to-month,Yes,24.7,No
No,35,Yes,No,DSL,No,No,Two year,No,55.25,No
No,47,Yes,No,Fiber optic,Yes,Yes,One year,Yes,110.85,Yes
Yes,42,Yes,No,Fiber optic,No,No,One year,No,97.1,No
Yes,54,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,20.35,No
No,24,No,No,DSL,No,Yes,Month-to-month,Yes,51.1,No
No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,100.15,No
No,71,No,No,Fiber optic,Yes,No,Two year,No,104.05,No
No,49,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,103.7,Yes
No,16,Yes,No,DSL,No,No,Month-to-month,Yes,50.15,Yes
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,70.3,No
Yes,4,No,No,DSL,No,No,Month-to-month,No,45.25,No
No,1,No,No,DSL,No,No,Month-to-month,No,35.9,Yes
Yes,51,Yes,Yes,DSL,No,Yes,Two year,No,60.5,No
Yes,23,Yes,No,DSL,No,Yes,Two year,No,34.6,No
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.85,No
No,54,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,No
No,12,No,No,DSL,No,No,Month-to-month,Yes,45.05,No
Yes,1,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.85,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.45,Yes
No,36,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,87.55,Yes
No,14,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.4,No
No,7,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.25,Yes
No,1,No,No,DSL,No,No,Month-to-month,No,50.55,Yes
No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,117.35,No
No,15,No,Yes,Fiber optic,No,No,Month-to-month,Yes,94.65,No
Yes,14,Yes,Yes,DSL,No,No,Month-to-month,Yes,65.45,Yes
No,24,Yes,No,DSL,No,Yes,Month-to-month,No,54.95,No
Yes,2,No,No,DSL,No,No,Month-to-month,Yes,24.4,Yes
Yes,22,No,No,DSL,No,Yes,Month-to-month,Yes,51.1,No
Yes,68,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.5,No
No,23,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,90.0,No
No,5,No,Yes,Fiber optic,No,No,Month-to-month,Yes,78.75,Yes
No,68,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.8,No
Yes,57,Yes,Yes,DSL,Yes,Yes,Two year,No,89.55,No
No,12,Yes,No,Fiber optic,No,Yes,Month-to-month,No,80.85,Yes
No,71,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.1,No
Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,No
No,9,No,No,DSL,No,Yes,Month-to-month,No,49.2,No
No,52,No,No,Fiber optic,Yes,No,Two year,Yes,89.45,No
No,4,No,No,DSL,No,No,Month-to-month,Yes,46.0,Yes
No,48,Yes,Yes,Fiber optic,Yes,Yes,Month-to-month,No,117.45,Yes
No,43,Yes,Yes,Fiber optic,No,Yes,Month-to-month,Yes,108.15,Yes
No,59,No,No,DSL,Yes,No,One year,Yes,61.35,No
No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,89.5,Yes
No,71,Yes,No,DSL,Yes,Yes,Two year,Yes,82.55,No
No,2,No,No,DSL,No,No,Month-to-month,Yes,49.4,Yes
No,57,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,No
Yes,53,Yes,Yes,DSL,No,No,Two year,No,69.7,No
No,23,No,Yes,Fiber optic,No,No,Month-to-month,No,95.3,No
No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,97.35,Yes
Yes,56,Yes,Yes,DSL,No,Yes,Two year,Yes,75.85,No
Yes,28,No,Yes,DSL,No,No,Month-to-month,No,64.4,No
No,27,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,84.8,No
No,68,Yes,Yes,DSL,Yes,Yes,Two year,Yes,82.45,No
Yes,34,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.95,No
No,35,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.25,Yes
Yes,1,No,No,DSL,Yes,No,Month-to-month,No,48.95,Yes
No,6,Yes,No,DSL,No,No,Month-to-month,Yes,49.45,No
Yes,19,No,No,DSL,No,Yes,Month-to-month,No,48.8,No
Yes,47,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.35,Yes
No,30,No,Yes,DSL,No,No,Month-to-month,Yes,50.4,Yes
Yes,22,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.75,No
No,20,Yes,No,DSL,No,Yes,Month-to-month,No,59.2,No
No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,85.65,No
No,60,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.0,No
No,50,No internet service,No internet service,No,No internet service,No internet service,One year,No,25.2,No
No,38,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,66.15,No
No,69,No,Yes,Fiber optic,Yes,Yes,One year,Yes,104.05,Yes
No,54,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,114.65,No
Yes,61,Yes,Yes,Fiber optic,No,No,One year,Yes,106.0,Yes
No,9,No,No,Fiber optic,No,No,Month-to-month,No,71.0,Yes
No,1,Yes,No,Fiber optic,No,No,Month-to-month,Yes,95.0,Yes
No,59,Yes,Yes,Fiber optic,No,No,Month-to-month,Yes,94.75,No
No,45,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.55,No
Yes,62,No,No,Fiber optic,Yes,No,One year,Yes,100.15,Yes
Yes,5,No,No,DSL,No,Yes,Month-to-month,Yes,55.7,No
No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,74.4,Yes
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,64.8,No
No,40,No,No,DSL,No,No,One year,No,55.8,No
No,70,Yes,Yes,Fiber optic,No,Yes,Two year,Yes,88.0,No
Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,89.7,No
Yes,5,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,84.5,Yes
No,1,No,No,Fiber optic,No,No,Month-to-month,No,85.8,Yes
No,40,Yes,Yes,DSL,Yes,No,One year,No,62.05,No
Yes,59,No,No,DSL,Yes,Yes,Two year,Yes,72.1,No
No,24,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.15,No
No,25,Yes,No,DSL,No,Yes,Month-to-month,Yes,69.5,No
Yes,71,No,Yes,DSL,Yes,Yes,One year,Yes,72.9,No
No,27,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.15,No
Yes,20,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.7,No
No,52,Yes,No,DSL,Yes,No,One year,No,53.75,No
Yes,1,No,No,DSL,No,Yes,Month-to-month,No,40.1,Yes
Yes,30,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.55,No
No,62,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,23.75,No
No,18,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No
No,55,Yes,Yes,Fiber optic,No,No,One year,Yes,100.9,No
No,33,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,No
No,18,No,No,Fiber optic,No,No,Month-to-month,Yes,95.45,Yes
No,45,Yes,No,DSL,Yes,No,Two year,No,53.3,No
No,68,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.9,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,70.15,Yes
Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.9,No
No,33,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.7,No
Yes,59,Yes,Yes,DSL,Yes,Yes,Two year,Yes,86.75,No
No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.6,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.3,Yes
No,11,No,Yes,Fiber optic,No,No,Month-to-month,No,74.95,Yes
No,44,No,No,DSL,Yes,Yes,One year,No,74.85,No
Yes,40,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,96.35,No
Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,114.45,No
No,32,No,No,Fiber optic,No,No,Month-to-month,Yes,85.0,Yes
Yes,10,Yes,Yes,DSL,No,Yes,One year,No,40.25,No
No,40,No,No,Fiber optic,No,No,Month-to-month,Yes,91.55,No
No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,85.7,Yes
No,12,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.15,Yes
Yes,5,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.2,No
No,46,No,Yes,Fiber optic,Yes,Yes,Two year,No,108.65,No
Yes,37,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,No
No,18,No,Yes,Fiber optic,No,No,Month-to-month,Yes,80.65,Yes
No,37,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.5,Yes
Yes,70,No,Yes,DSL,Yes,Yes,Two year,Yes,80.4,No
Yes,54,Yes,Yes,DSL,No,Yes,Two year,Yes,65.65,No
No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,Yes
No,67,Yes,Yes,Fiber optic,Yes,No,One year,No,109.9,No
No,3,No,No,DSL,No,No,Month-to-month,Yes,60.25,No
Yes,26,No,Yes,DSL,No,Yes,Month-to-month,Yes,60.05,Yes
Yes,64,Yes,No,DSL,Yes,Yes,Two year,No,69.25,No
No,68,Yes,Yes,DSL,Yes,No,One year,No,76.75,No
No,29,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.05,Yes
No,17,No,No,DSL,Yes,Yes,Month-to-month,Yes,69.0,No
Yes,13,No,No,DSL,No,No,Month-to-month,No,66.4,No
No,23,No,Yes,Fiber optic,Yes,Yes,Month-to-month,No,83.2,No
Yes,65,No,Yes,DSL,No,Yes,Two year,Yes,79.4,No
No,11,No,No,Fiber optic,Yes,No,Month-to-month,No,72.9,No
Yes,61,No,Yes,DSL,Yes,Yes,Two year,Yes,61.45,No
No,2,No,Yes,DSL,No,Yes,Month-to-month,Yes,64.2,No
No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,74.25,Yes
No,3,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,19.8,Yes
Yes,22,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.55,No
Yes,30,No,No,DSL,No,Yes,Month-to-month,No,51.2,Yes
No,64,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.45,No
Yes,38,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.6,No
No,3,Yes,Yes,DSL,No,No,Month-to-month,Yes,35.45,Yes
Yes,51,Yes,Yes,Fiber optic,No,Yes,One year,No,110.05,No
Yes,69,No,Yes,Fiber optic,Yes,No,One year,No,95.75,No
Yes,60,No,Yes,DSL,No,Yes,Two year,No,76.95,No
No,3,No,Yes,Fiber optic,No,No,Month-to-month,Yes,79.4,Yes
Yes,50,No,Yes,DSL,Yes,Yes,One year,Yes,84.15,No
No,60,Yes,No,DSL,No,No,One year,Yes,59.8,No
No,66,No,Yes,DSL,Yes,No,Two year,Yes,80.55,Yes
No,12,No,No,DSL,No,Yes,One year,No,74.05,Yes
Yes,42,No,No,Fiber optic,No,No,Month-to-month,Yes,77.95,Yes
No,4,No,No,Fiber optic,No,No,Month-to-month,No,74.95,Yes
Yes,13,No,No,DSL,No,No,Month-to-month,No,44.8,No
Yes,22,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.75,No
